participant_id,timestamp,language,row_type,age_band,gender,education,ai_use_freq,law_familiarity,native_language,order_position,scenario_key,scenario_title,risk_level,condition,confidence_shown,is_probe,t_reliable,t_accurate,t_confident,t_wary,t_source,t_understand,t_use,t_rely,attention_check,attention_pass,manip_notice,manip_most_trusted,reflect_open,comment
20260603171343636190,2026-06-03 17:14:42,en,scenario,25–34,Male,Bachelor's degree,Weekly,2,English,1.0,speed,Speed Limits,low,Baseline,,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,,,,,
20260603171343636190,2026-06-03 17:15:23,en,scenario,25–34,Male,Bachelor's degree,Weekly,2,English,2.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,
20260603171343636190,2026-06-03 17:15:55,en,scenario,25–34,Male,Bachelor's degree,Weekly,2,English,3.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,,,,,,
20260603171343636190,2026-06-03 17:17:57,en,scenario,25–34,Male,Bachelor's degree,Weekly,2,English,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603171343636190,2026-06-03 17:19:36,en,final,25–34,Male,Bachelor's degree,Weekly,2,English,,,,,,,,,,,,,,,,"Yes, somewhat",Answers that showed sources and confidence,,,,
20260603171947811849,2026-06-03 17:21:14,en,scenario,45–54,Male,Master's or higher,Weekly,1,English,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,
20260603171947811849,2026-06-03 17:22:10,en,scenario,45–54,Male,Master's or higher,Weekly,1,English,2.0,speed,Speed Limits,low,RAG (no transparency),,0.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,
20260603171947811849,2026-06-03 17:22:49,en,scenario,45–54,Male,Master's or higher,Weekly,1,English,3.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,,,,,,
20260603171947811849,2026-06-03 17:23:47,en,scenario,45–54,Male,Master's or higher,Weekly,1,English,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,
20260603171947811849,2026-06-03 17:23:55,en,final,45–54,Male,Master's or higher,Weekly,1,English,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
20260603172759490593,2026-06-03 17:30:27,en,scenario,35–44,Female,Master's or higher,Daily,2,Both equally,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603172759490593,2026-06-03 17:30:41,en,scenario,35–44,Female,Master's or higher,Daily,2,Both equally,2.0,speed,Speed Limits,low,RAG (no transparency),,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603172759490593,2026-06-03 17:31:00,en,scenario,35–44,Female,Master's or higher,Daily,2,Both equally,3.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
20260603172759490593,2026-06-03 17:32:15,en,scenario,35–44,Female,Master's or higher,Daily,2,Both equally,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
